id;nome;bandeira
1;Alemanha;alemanha.png
2;Arábia Saudita;arabiaSaudita.png
3;Argentina;argentina.png
4;Austrália;australia.png
5;Bélgica;belgica.png
6;Brasil;brasil.png
7;Colombia;colombia.png
8;Coreia do Sul;coreiaDoSul.png
9;Costa Rica;costaRica.png
10;Croacia;croacia.png
11;Dinamarca;dinamarca.png
12;Egito;egito.png
13;Espanha;espanha.png
14;França;franca.png
15;Inglaterra;inglaterra.png
16;Irã;ira.png
17;Islandia;islandia.png
18;Japão;japao.png
19;Marrocos;marrocos.png
20;México;mexico.png
21;Nigéria;nigeria.png
22;Panamá;panama.png
23;Peru;peru.png
24;Polônia;polonia.png
25;Portugal;portugal.png
26;Russia;russia.png
27;Senegal;senegal.png
28;Servia;servia.png
29;Suécia;suecia.png
30;Suiça;suica.png
31;Tunísia;tunisia.png
32;Uruguai;usuguay.png
